SA1_CODE21,Education level,Income level,Adaptive Capability Index
1156342,1047.0,1137.0,0.851822
1156343,1019.0,1073.0,0.81592953
1156344,1029.0,987.0,0.7862592
1156345,1005.0,1022.0,0.7905673
1156346,1087.0,1131.0,0.86506855
1156347,1003.0,1041.0,0.7972039
1156348,995.0,1060.0,0.80150235
1156349,1062.0,1258.0,0.9048964
1156350,1054.0,1097.0,0.83893716
1156351,1056.0,995.0,0.7999039
1156352,907.0,814.0,0.67118895
1156353,1084.0,1055.0,0.8342351
1156354,1007.0,1004.0,0.78432095
1156355,1048.0,1100.0,0.83776987
1156356,1085.0,1100.0,0.8521892
1156357,1016.0,1083.0,0.8186636
1156401,1149.0,843.0,0.77681845
1156402,1133.0,1084.0,0.8646502
1156403,1168.0,919.0,0.81388736
1156404,1116.0,890.0,0.78230304
1156405,1176.0,1009.0,0.8521338
1156406,1101.0,877.0,0.77138317
1156407,1139.0,928.0,0.8060986
1156408,1108.0,905.0,0.78504014
1156409,1121.0,1075.0,0.8564608
1156410,1141.0,884.0,0.7897039
1156411,1119.0,881.0,0.77995926
1156412,1123.0,879.0,0.7807375
1156413,1180.0,872.0,0.8002188
1156414,1169.0,851.0,0.7877352
1156415,1157.0,1141.0,0.8962515
1156416,1095.0,1017.0,0.8236897
1156417,1196.0,1125.0,0.90520513
1156418,0.0,0.0,0.0
1156419,1114.0,1039.0,0.83968127
1156420,1153.0,704.0,0.72412276
1156421,1138.0,905.0,0.7967315
1156422,1149.0,1069.0,0.86503077
1156423,1148.0,823.0,0.7686224
1156424,1156.0,1042.0,0.8572202
1156425,1162.0,981.0,0.8357489
1156426,1198.0,1083.0,0.8895911
1156427,0.0,0.0,0.0
1156428,1163.0,1033.0,0.85643524
1156501,1147.0,704.0,0.72178453
1156502,1159.0,789.0,0.7596383
1156503,1164.0,787.0,0.7608062
1156504,1136.0,675.0,0.7061784
1156505,1112.0,1031.0,0.8357793
1156506,1113.0,823.0,0.7549825
1156507,1110.0,1024.0,0.83226764
1156508,1104.0,682.0,0.69643986
1156509,1129.0,882.0,0.7842467
1156510,1110.0,968.0,0.8104097
1156511,1098.0,961.0,0.8030009
1156512,1064.0,1056.0,0.8268311
1156513,1162.0,796.0,0.7635397
1156514,1104.0,889.0,0.77723616
1156515,1112.0,724.0,0.7159511
1156516,1137.0,886.0,0.78892565
1156517,1092.0,985.0,0.81003034
1156518,1152.0,718.0,0.7291976
1156519,1214.0,934.0,0.83766884
1156520,1169.0,965.0,0.83223176
1156521,1106.0,1081.0,0.852957
1156522,1060.0,967.0,0.7905338
1156523,1115.0,838.0,0.76161665
1156524,1159.0,784.0,0.75768673
